date,XLC,XLRE,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2015-10-08,55.98,30.21,36.800636291503906,47.740623474121094,15.959920883178713,45.11732482910156,37.0059700012207,38.825592041015625,32.83816146850586,58.712886810302734,70.15492248535156
2015-10-09,56.13,30.16,36.783966064453125,47.43101119995117,15.857563018798828,45.269981384277344,37.1672477722168,38.912147521972656,32.68143081665039,58.98004913330078,70.23625946044922
2015-10-12,55.975,30.3499,36.46738052368164,46.818695068359375,15.871212005615234,45.2784538269043,37.21204376220703,39.0144157409668,32.972511291503906,59.13517761230469,70.57061767578125
2015-10-13,55.54,30.16,36.325740814208984,46.33018493652344,15.74839210510254,44.79505920410156,37.13141250610352,38.77839660644531,32.89788055419922,58.394046783447266,70.19107818603516
2015-10-15,56.2,30.07,36.71731185913086,47.568603515625,15.973563194274902,44.79505920410156,37.53460693359375,38.67611312866211,33.37553787231445,59.58329772949219,70.38084411621094
2015-10-16,56.1601,30.642,36.73398971557617,47.63053894042969,16.069093704223633,44.56608200073242,37.60630416870117,39.04589080810547,33.4202995300293,60.11760711669922,70.75138854980469
2015-10-19,55.88,30.9999,36.4757080078125,46.68796157836914,16.05544090270996,44.62546157836914,37.74965286254883,39.218963623046875,33.44269943237305,60.33304214477539,71.08576965332031
2015-10-20,56.57,31.03,36.534027099609375,46.818695068359375,16.150976181030273,44.92227935791016,37.651100158691406,39.195369720458984,33.55463790893555,59.38507461547851,70.9953842163086
2015-10-21,55.7178,31.055,36.209083557128906,46.240753173828125,16.034976959228516,44.93074798583984,37.3643798828125,39.20322799682617,33.48747634887695,58.85078048706055,70.6790771484375
2015-10-22,56.77,31.4475,37.20055389404297,47.07323455810547,16.29427146911621,46.18588638305664,38.206634521484375,39.98210525512695,33.87557601928711,58.49745178222656,71.60990142822266
2015-10-23,57.9,31.07,37.508819580078125,46.963165283203125,16.471675872802734,46.355506896972656,39.272918701171875,39.919166564941406,33.278499603271484,59.747047424316406,71.96232604980469
2015-10-26,57.47,31.11,37.20055389404297,45.81418991088867,16.4034423828125,46.25374984741211,39.12059020996094,39.84050750732422,33.15908432006836,59.97970199584961,72.46842956542969
2015-10-27,56.6005,31.1183,37.04225158691406,45.2637939453125,16.307912826538086,45.744903564453125,38.896583557128906,39.89557647705078,33.039669036865234,61.082786560058594,72.12501525878906
2015-10-28,58.474,31.005,37.600460052490234,46.26827621459961,16.69002342224121,46.10957717895508,39.47899627685547,39.66741561889648,32.688907623291016,61.59124755859375,72.81181335449219
2015-10-29,57.5365,31.146,37.67545700073242,46.5022087097168,16.669553756713867,46.084129333496094,39.37147903442383,39.68314743041992,32.502323150634766,61.867000579833984,73.01968383789062
2015-11-03,58.66,31.35,38.10870742797851,49.12348937988281,16.683198928833008,46.59296798706055,39.66716384887695,39.28977584838867,32.785919189453125,62.56504821777344,73.78783416748047
2015-11-04,58.13,31.22,37.85874938964844,48.68317413330078,16.63542938232422,46.46576690673828,39.71196365356445,39.124549865722656,32.95758819580078,62.28927230834961,73.3088607788086
2015-11-05,58.05,31.1,37.6671257019043,48.2703857421875,16.70366668701172,46.52511978149414,39.59547805786133,39.11669158935547,32.673973083496094,62.09105682373047,73.57093811035156
2015-11-06,58.6,29.95,37.76709747314453,48.0226936340332,16.87425994873047,46.52511978149414,39.729888916015625,38.69185256958008,31.53210830688477,61.8325309753418,73.5799789428711
2015-11-09,57.94,29.71,37.508819580078125,47.5479621887207,16.69002342224121,46.1689338684082,39.3445930480957,38.432228088378906,31.614200592041016,61.35854721069336,72.56783294677734
2015-11-10,57.27,30.03,37.23387145996094,47.65117263793945,16.76508140563965,46.16044998168945,39.08473587036133,38.53450012207031,31.89781188964844,61.77220916748047,73.25462341308594
2015-11-11,57.4737,30.1339,37.27553176879883,46.63981246948242,16.71048927307129,46.21982955932617,39.06682968139648,38.47943878173828,32.1739501953125,61.16033935546875,72.82086944580078
2015-11-12,56.56,29.95,36.52570724487305,45.580291748046875,16.45802879333496,45.59223937988281,38.72633743286133,37.96017074584961,31.867948532104492,60.10036087036133,72.1430892944336
